Gene,MeanAbsSHAP
FBXL16,0.0013307515839639135
CLEC3A,0.0013304259867956642
NEFL,0.00133029372563303
LMTK3,0.0013300834892977756
SPC24,0.0013287003131182474
IRS1,0.0013285432055332317
TBC1D3G,0.0013280729701919982
CLIP4,0.0013267713760078614
SGCG,0.0013265570411568383
IGF1,0.0013262686078072583
MSI1,0.001326137920941998
FLJ35024,0.0013260110766954844
ANKRD45,0.0013254963462587218
PSORS1C1,0.001324081541682255
CFB,0.0013234183052310933
FAM72A,0.0013230650477478573
CDC25C,0.0013228370081988159
LOC100127888,0.0013227138489559328
TAC1,0.0013212525337084773
TSPAN8,0.0013208977807102605
MTMR8,0.001320872918369926
C20orf54,0.001320857707870715
HOXD10,0.0013205394310676047
PROX1,0.001319497547193333
ITGA11,0.0013193786631657328
FAT1,0.0013187447401391082
GABRG3,0.0013187176664827248
CX3CR1,0.0013183549888411664
LOC728875,0.0013174827330348965
CCNE1,0.001317291156405847
SLC39A2,0.0013168957089490618
LEMD1,0.0013163933763817364
CPAMD8,0.001316082582103364
LIN7A,0.0013153130469747668
MAPK4,0.0013151905996919152
SLCO1A2,0.0013140143769627835
ABCD2,0.0013136810693459389
GPM6B,0.0013136674023363703
LOC100130148,0.0013136473198941524
ORC1L,0.001313562613032494
NCAPH,0.0013122030269073549
AKR1E2,0.0013116643295436208
KIAA1875,0.0013116535661340596
GSDMC,0.0013109400473393547
COL6A6,0.0013108338466812895
KLRC4,0.0013107601339293574
EPO,0.0013106846030818057
LRRC43,0.0013088073319510033
CKAP2L,0.0013084865908651938
CDCA5,0.0013084154826360026
PRRT4,0.0013082853285639592
RNF165,0.0013078041126247443
TTK,0.0013073837656837858
FST,0.0013064765526653193
KLK5,0.0013060447640908831
GPR15,0.0013060325080129726
HAMP,0.0013058434542015127
SRPK3,0.0013055012905047489
AGBL2,0.001303874812443616
KIF12,0.001303029373131734
IGF1R,0.0013028764829610868
EGR3,0.0013021493612364388
EMID2,0.0013020955475271181
PLCH2,0.0013011931523448557
PIF1,0.0013005320879802046
FOXQ1,0.0013000320840182175
CA11,0.0012999927836838134
PBK,0.0012998857156899942
LIF,0.0012998053099990792
ANKRD20A3,0.0012996092943321318
CEP55,0.0012993808284935287
