Gene,Variance
LY6D,8.320945210968665
SLC5A1,8.31100677767834
S100A7A,8.302460966854131
PLIN1,8.301587545388433
MSMB,8.296795446562854
GLYATL2,8.288281092226976
TRH,8.26825568131925
TMPRSS4,8.260639377187506
SERPINA5,8.246963469381527
SLC44A4,8.216458661999114
PLA2G2A,8.208284967862284
S100A9,8.177045664888654
GPD1,8.15693292605308
PON3,8.141505772403178
NBPF6,8.139679222499362
HS6ST3,8.138744465199176
SLC7A4,8.131144935190374
ROPN1,8.12889167307849
GLRA3,8.111576672849635
ZIC1,8.097859578052534
MAGEA3,8.083033908392176
CYP4F22,8.075955537706024
ERBB4,8.055601054507774
NEK10,7.994088699386133
ATP13A5,7.978534632987481
RIMS4,7.966078998413824
PI3,7.966076699800542
ORM2,7.92206931782961
MS4A15,7.921091255030536
CIDEA,7.920338762576409
PROL1,7.892447391979333
PTPRZ1,7.888830926358692
IL20,7.882670373996249
LPPR3,7.874349411885146
TSPAN8,7.871642123157189
ROBO2,7.868756383093854
INSM1,7.866318684968456
CAPN6,7.859671546345386
DLK1,7.818176249188217
ELOVL2,7.812548377299932
NKAIN1,7.795622453225691
FAM3B,7.7893426338589355
KRT15,7.788527463720045
WFDC2,7.786505335173688
NCRNA00052,7.783052889962479
TMC5,7.765656701223506
CCL21,7.7382349398920764
SLC9A2,7.733732503739014
ATP6V0A4,7.731627685245099
SLC7A2,7.669876965135665
ANXA8,7.658001173047887
HGD,7.653880462010716
KLK8,7.648762871273245
VTCN1,7.644098269226202
FGB,7.643107885018912
BBOX1,7.624903550922284
WDR72,7.597842208534587
ABCC13,7.594064545021556
KNDC1,7.584875966147573
FREM2,7.582960597238882
PKP1,7.5753717714981805
CCL19,7.5751737346453885
LOC728606,7.572846657043703
FOXJ1,7.566056080657728
CHST8,7.553409432500402
TRIM29,7.547335913366964
SYT8,7.538694925243937
GSTA1,7.521709316993997
SYT1,7.506808662937017
ACTL8,7.504816015458336
AGTR1,7.504691045085852
SOSTDC1,7.504681403059466
CHGB,7.500507435679425
TRPA1,7.498159403230745
CYP4B1,7.496580470410278
NCCRP1,7.4840888930261995
SYTL5,7.479490224480356
FAM5B,7.472478550683985
CR2,7.459235996198037
HORMAD1,7.432461150324622
